rank_diff;overall_diff;hard_diff;gs_diff;m1000_diff;deciding_diff;tiebreak_diff;after_win_diff;after_loss_diff;serve1_diff;serve2_diff;bp_saved_diff;bp_conv_diff;aces_diff;label
1.0;0.10699999999999998;0.10799999999999998;0.38100000000000006;-0.16700000000000004;0.19999999999999996;0.10449999999999998;-0.02300000000000002;359;0.28000000000001535;2.5799999999999983;-2.1200000000000045;-8.259999999999998;-131.0;1
-1.0;-0.10699999999999998;-0.10799999999999998;-0.38100000000000006;0.16700000000000004;-0.19999999999999996;-0.10449999999999998;0.02300000000000002;-359;-0.28000000000001535;-2.5799999999999983;2.1200000000000045;8.259999999999998;131.0;0
-0.0;0.03699999999999998;0.04700000000000004;-0.05600000000000005;0.09999999999999998;0.027000000000000024;-0.0035000000000000586;0.18499999999999994;-63;0.0;0.0;0.0;0.0;-14.0;1
0.0;-0.03699999999999998;-0.04700000000000004;0.05600000000000005;-0.09999999999999998;-0.027000000000000024;0.0035000000000000586;-0.18499999999999994;63;-0.0;-0.0;-0.0;-0.0;14.0;0
-20.5;-0.07100000000000001;-0.09900000000000003;-196;-192;-0.18100000000000005;-0.06049999999999994;-0.18499999999999994;59;1.1499999999999915;1.2399999999999949;-3.6799999999999926;3.6599999999999966;92.0;1
20.5;0.07100000000000001;0.09900000000000003;196;192;0.18100000000000005;0.06049999999999994;0.18499999999999994;-59;-1.1499999999999915;-1.2399999999999949;3.6799999999999926;-3.6599999999999966;-92.0;0
-11.5;-197;-0.10499999999999998;-0.23800000000000004;-125;-127;0.033499999999999974;-0.07600000000000007;-208;-2.4299999999999926;-2.1799999999999997;-5.849999999999994;-6.380000000000003;-83.0;1
11.5;197;0.10499999999999998;0.23800000000000004;125;127;-0.033499999999999974;0.07600000000000007;208;2.4299999999999926;2.1799999999999997;5.849999999999994;6.380000000000003;83.0;0
29.0;0.21300000000000002;0.18300000000000005;0.04399999999999993;0.10400000000000004;0.06400000000000006;0.10200000000000004;0.08800000000000008;0.03999999999999998;4.480000000000004;3.25;13.719999999999992;-6.329999999999998;105.0;1
-29.0;-0.21300000000000002;-0.18300000000000005;-0.04399999999999993;-0.10400000000000004;-0.06400000000000006;-0.10200000000000004;-0.08800000000000008;-0.03999999999999998;-4.480000000000004;-3.25;-13.719999999999992;6.329999999999998;-105.0;0
-20.5;-0.018000000000000016;-0.07100000000000001;0.0;-192;-0.22499999999999998;-0.06049999999999994;-0.19699999999999995;159;3.6899999999999977;3.489999999999995;3.030000000000001;5.649999999999999;52.0;1
20.5;0.018000000000000016;0.07100000000000001;-0.0;192;0.22499999999999998;0.06049999999999994;0.19699999999999995;-159;-3.6899999999999977;-3.489999999999995;-3.030000000000001;-5.649999999999999;-52.0;0
38.0;188;0.16099999999999998;304;0.26299999999999996;0.18100000000000005;0.056999999999999995;0.18799999999999994;0.08699999999999997;2.7099999999999937;-2.049999999999997;6.969999999999999;-4.089999999999996;15.0;1
-38.0;-188;-0.16099999999999998;-304;-0.26299999999999996;-0.18100000000000005;-0.056999999999999995;-0.18799999999999994;-0.08699999999999997;-2.7099999999999937;2.049999999999997;-6.969999999999999;4.089999999999996;-15.0;0
-5.5;0.11099999999999999;0.0010000000000000009;-0.07100000000000001;-0.14300000000000002;0.0;0.0;-0.028999999999999915;0.013999999999999985;-2.1699999999999875;-3.1400000000000006;-0.9100000000000108;13.89;-82.0;1
5.5;-0.11099999999999999;-0.0010000000000000009;0.07100000000000001;0.14300000000000002;-0.0;-0.0;0.028999999999999915;-0.013999999999999985;2.1699999999999875;3.1400000000000006;0.9100000000000108;-13.89;82.0;0
23.0;136;0.06099999999999994;304;0.21399999999999997;0.15600000000000003;-0.0034999999999999476;0.03199999999999992;0.13199999999999998;3.859999999999985;-0.8100000000000023;3.2900000000000063;-0.4299999999999997;94.0;1
-23.0;-136;-0.06099999999999994;-304;-0.21399999999999997;-0.15600000000000003;0.0034999999999999476;-0.03199999999999992;-0.13199999999999998;-3.859999999999985;0.8100000000000023;-3.2900000000000063;0.4299999999999997;-94.0;0
57.5;0.013000000000000012;-0.010000000000000009;0.07100000000000001;0.03799999999999998;0.0;0.09549999999999997;-0.01200000000000001;0.010000000000000009;-4.709999999999994;0.1600000000000037;2.6699999999999946;11.89;-110.0;1
-57.5;-0.013000000000000012;0.010000000000000009;-0.07100000000000001;-0.03799999999999998;-0.0;-0.09549999999999997;0.01200000000000001;-0.010000000000000009;4.709999999999994;-0.1600000000000037;-2.6699999999999946;-11.89;110.0;0
47.0;-0.01100000000000001;0.010000000000000009;0.0;-0.21200000000000002;0.014999999999999902;0.09549999999999997;-0.11299999999999999;-0.07200000000000001;-6.579999999999998;-1.0599999999999952;-4.380000000000003;4.710000000000001;-9.0;1
-47.0;0.01100000000000001;-0.010000000000000009;-0.0;0.21200000000000002;-0.014999999999999902;-0.09549999999999997;0.11299999999999999;0.07200000000000001;6.579999999999998;1.0599999999999952;4.380000000000003;-4.710000000000001;9.0;0
-0.0;0.0;0.0;-0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;1
0.0;-0.0;-0.0;0.3;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-43.0;0
-38.0;-249;-138;-0.39499999999999996;-519;-0.09600000000000009;-0.045499999999999985;-0.19100000000000006;-174;-6.359999999999999;-5.890000000000001;-9.850000000000009;-9.329999999999998;-129.0;1
38.0;249;138;0.39499999999999996;519;0.09600000000000009;0.045499999999999985;0.19100000000000006;174;6.359999999999999;5.890000000000001;9.850000000000009;9.329999999999998;129.0;0
